,label,x,y,depths,min_conc,max_conc,mean_conc
0,W.RF,540297,150200,"2,25,30.5 m",0.0,0.0005,8.695652173913044e-06
1,W.DI,534650,151350,"2,25,30.5 m",0.0,0.0945,0.017530172413793108
2,W.01,533825,151321,25 m,0.0,0.098,0.009438053097345132
3,W.BY,532617,150599,"2,25,30.5 m",0.0,0.2635,0.0059478260869565225
4,W.02,529593,150857,25 m,0.0,0.0005,4.310344827586207e-06
5,W.03,530477,149337,25 m,0.0,0.0075,0.003153508771929825
6,W.04,532300,148004,25 m,0.0,0.0,0.0
7,W.05,536351,147354,"2,25,30.5 m",0.0,0.0,0.0
