,label,x,y,depths,min_conc,max_conc,mean_conc
0,W.RF,540297,150200,"2,25,30.5 m",0.0025,0.0145,0.007635135135135136
1,W.DI,534650,151350,"2,25,30.5 m",0.0005,0.5695,0.1518108108108108
2,W.01,533825,151321,25 m,0.0,0.139,0.01781081081081081
3,W.BY,532617,150599,"2,25,30.5 m",0.0,0.078,0.009585714285714286
4,W.02,529593,150857,25 m,0.0,0.0035,0.0009583333333333334
5,W.03,530477,149337,25 m,0.0,0.006,0.0024054054054054056
6,W.04,532300,148004,25 m,0.0,0.0,0.0
7,W.05,536351,147354,"2,25,30.5 m",0.0,0.0,0.0
