2509903	1138485
2509878	1138462
2509880	1138437
2509920	1138437
2509895	1138410
2509953	1138417
2510042	1138402
2510127	1138402
2510222	1138370
2510287	1138355
2510399	1138314
2510429	1138352
2510477	1138400
2510497	1138475
2510724	1138931
2510769	1138934
2510803	1138974
2510861	1138974
2510958	1138992
2511028	1139044
2511048	1139102
2511045	1139155
2511050	1139215
2511098	1139310
2511113	1139403
2511098	1139481
2511060	1139606
2511021	1139764
2511013	1139922
2511028	1140038
2511068	1140118
2511140	1140188
2511255	1140309
2511360	1140416
2511427	1140519
2511462	1140582
2511515	1140675
2511624	1140860
2511672	1140931
2511719	1141064
2511724	1141119
2511707	1141262
2511689	1141412
2511694	1141477
2511694	1141618
2511714	1141761
2511739	1141861
2511819	1141992
2511876	1142039
2511919	1142049
2511964	1142047
2512006	1142032
2512046	1141997
2512116	1142017
2512168	1142047
2512208	1142072
2512248	1142122
2512208	1142205
2512263	1142265
2512318	1142320
2512413	1142350
2512518	1142380
2512665	1142486
2512727	1142531
2512837	1142566
2512902	1142624
2512972	1142674
2513109	1142860
2513184	1142927
2513194	1142993
2513266	1143100
2513361	1143216
2513468	1143281
2513533	1143389
2513605	1143477
2513703	1143582
2513785	1143675
2513845	1143750
2513850	1143815
2513850	1143916
2513892	1144039
2513935	1144129
2513950	1144161
2513995	1144202
2514035	1144219
2514077	1144214
2514177	1144237
2514202	1144249
2514252	1144292
2514331	1144357
2514374	1144402
2514396	1144450
2514436	1144515
2514466	1144540
2514529	1144570
2514558	1144583
2514601	1144623
2514646	1144688
2514681	1144723
2514763	1144753
2514845	1144768
2514905	1144786
2514945	1144814
2514996	1144859
2515002	1144866
2515115	1144997
2515185	1145083
2515275	1145277
2515315	1145262
2515320	1145312
2515340	1145363
2515370	1145426
2515413	1145496
2515465	1145589
2515565	1145539
2515575	1145468
2515570	1145441
2515545	1145476
2515533	1145514
2515565	1145539
2515465	1145589
2515520	1145665
2515595	1145738
2515665	1145771
2515753	1145856
2515803	1145861
2515830	1145889
2515858	1145924
2515883	1145980
2515908	1145980
2515993	1146020
2516013	1146050
2516056	1146043
2516076	1146081
2516093	1146111
2516171	1146146
2516203	1146146
2516253	1146121
2516291	1146118
2516341	1146078
2516338	1146121
2516408	1146131
2516476	1146106
2516531	1146103
2516546	1146131
2516601	1146141
2516673	1146184
2516708	1146197
2516758	1146207
2516818	1146222
2516848	1146214
2516908	1146227
2516986	1146244
2517031	1146242
2517088	1146247
2517141	1146262
2517171	1146262
2517201	1146270
2517286	1146250
2517319	1146262
2517371	1146257
2517406	1146270
2517434	1146305
2517476	1146328
2517694	1146365
2517751	1146401
2517874	1146446
2517919	1146446
2517996	1146496
2518096	1146529
2518146	1146559
2518206	1146565
2518269	1146567
2518324	1146562
2518404	1146539
2518464	1146507
2518642	1146459
2518672	1146466
2518804	1146532
2518964	1146459
